Price,Open,High,Low,Close,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2018-01-02,39.9339864834405,40.436212064432425,39.72276790875693,40.426822662353516,102223600
2018-01-03,40.49019456253724,40.96425916920155,40.356426001755686,40.4197883605957,118071600
2018-01-04,40.49254320598795,40.71080209052406,40.3845901249985,40.607540130615234,89738400
2018-01-05,40.70375823200148,41.156698465850205,40.61223124489687,41.06986618041992,94640000
2018-01-08,40.91731262207031,41.213014298775086,40.81874181549477,40.91731262207031,82271200
2018-01-09,40.96425914982696,41.083947186365236,40.696718447382196,40.912628173828125,86336000
2018-01-10,40.63804105355738,40.90558171547584,40.6004906074266,40.90323257446289,95839600
2018-01-11,40.9736411657776,41.18485975187986,40.950174821327025,41.13557434082031,74670800
2018-01-12,41.34678439009499,41.62371443707862,41.22240167829111,41.56034851074219,101672400
2018-01-16,41.75045326114435,42.10013514329996,41.33740901764493,41.349143981933594,118263600
2018-01-17,41.33976179588409,42.06728673670488,41.08630514423952,42.03208541870117,137547200
2018-01-18,42.09542989296319,42.26675245042879,41.8325839476019,42.06961441040039,124773600
2018-01-19,41.91707157358285,42.14471622089114,41.63545040010063,41.88187026977539,129700400
2018-01-22,41.60964418037092,41.72229195864066,41.44536542435082,41.53923797607422,108434400
2018-01-23,41.609634869826934,42.11186042928691,41.49698711676318,41.548614501953125,130756400
2018-01-24,41.597905380444125,41.60964034357955,40.64743066260191,40.886810302734375,204420400
2018-01-25,40.954856156954406,41.058118074688274,40.02081135919201,40.15692901611328,166116000
2018-01-26,40.3658017884038,40.3658017884038,39.9105125208525,40.25080490112305,156572000
2018-01-29,39.93399650983338,39.93399650983338,39.20882079099787,39.41769027709961,202561600
2018-01-30,38.84739402787731,39.279213415752686,38.6526051170296,39.185340881347656,184192800
2018-01-31,39.16187382377497,39.53033088935035,39.07504154404407,39.293296813964844,129915600
2018-02-01,39.23227693364981,39.5725693452636,39.13605525875675,39.37543487548828,188923200
2018-02-02,38.95769826348325,39.145446923123295,37.57305861302765,37.66693115234375,346375200
2018-02-05,37.33836925832738,38.4601628009349,36.610844631327524,36.7258415222168,290954000
2018-02-06,36.336272823957266,38.422621977266445,36.141483877235586,38.26068878173828,272975200
2018-02-07,38.27476351616194,38.34751526986964,37.33133269703871,37.44163131713867,206434400
2018-02-08,37.61764984878874,37.78427774242691,36.38320827506247,36.41136932373047,217562000
2018-02-09,37.012255851452416,37.205480239983814,35.40282207384346,36.85673141479492,282690400
2018-02-12,37.34922453638688,38.61933366859488,37.115937864737404,38.341278076171875,243278000
2018-02-13,38.1621772820291,38.82197484217078,38.091484044226874,38.72536087036133,130196800
2018-02-14,38.41902856901624,39.4794164227937,38.38132862243266,39.43935775756836,162579600
2018-02-15,40.009607831667644,40.787226261286364,39.82345244667649,40.76366424560547,204588800
2018-02-16,40.615213184598545,41.19489348609223,40.47618541158448,40.63170623779297,160704400
2018-02-20,40.54216089165014,41.06292710816683,40.393705449229564,40.495033264160156,135722000
2018-02-21,40.72596553556844,41.029941821835656,40.29709580939052,40.31123733520508,149886400
2018-02-22,40.48324488805256,40.989873106172986,40.46203799794118,40.648193359375,123967600
2018-02-23,40.92390438589629,41.39047406800954,40.89326980623365,41.35512924194336,135249600
2018-02-26,41.55542928860672,42.27177871683173,41.522439583272835,42.17280960083008,152648800
2018-02-27,42.20342472221904,42.528607783247274,41.98192097614066,42.03611755371094,155712400
2018-02-28,42.24115812429372,42.561631194646324,41.956033489967965,41.97252655029297,151128400
2018-03-01,42.07148654441449,42.36368367885173,40.68591516740687,41.2373161315918,195208000
2018-03-02,40.71891371077531,41.54366021234237,40.63643762237484,41.52245330810547,153816000
2018-03-05,41.28679626200407,41.88296965474033,41.12420286478362,41.66617965698242,113605600
2018-03-06,41.92302977255187,42.00314711448065,41.50358769350333,41.63083267211914,95154000
2018-03-07,41.223170240688404,41.43760510612376,41.065290692306476,41.24437713623047,126814000
2018-03-08,41.350415636468696,41.736867984637264,41.25380524613253,41.694454193115234,95096400
2018-03-09,41.93481096207728,42.41551859070438,41.80049342731485,42.410804748535156,128740800
2018-03-12,42.48384649188425,42.978695569792784,42.46499831736493,42.82081604003906,128828400
2018-03-13,43.025815907249374,43.24025071105092,42.236418392231926,42.4084358215332,126774000
2018-03-14,42.49092792856055,42.53805556591924,41.899464753543086,42.04792022705078,117473600
2018-03-15,42.062052026621785,42.47206996264461,41.96072780085272,42.09739685058594,90975200
2018-03-16,42.09740360125407,42.20815552824538,41.85469284949225,41.948951721191406,157618800
2018-03-19,41.783999848007596,41.81934467481242,40.921550117889645,41.30800247192383,133787200
2018-03-20,41.29385757446289,41.661458093646814,41.223164337171966,41.29385757446289,78597600
2018-03-21,41.24673482523115,41.25851763313457,40.3560092009763,40.358367919921875,148219600
2018-03-22,40.059099226315716,40.69061741763878,39.729202200342165,39.78811264038086,165963200
2018-03-23,39.679712086140285,40.04024365734224,38.86674880981445,38.86674880981445,164115200
2018-03-26,39.604314524877644,40.78959235574448,39.22021728418757,40.711830139160156,150164800
2018-03-27,40.92626453336599,41.272658253770935,39.33332732068814,39.667938232421875,163690400
2018-03-28,39.41107463379318,40.06380315467739,38.92565330328693,39.22962951660156,166674000
2018-03-29,39.54304156007836,40.47147063196925,39.328606704264416,39.535972595214844,153594000
2018-04-02,39.26733982838251,39.80931655528173,38.755997678604295,39.276763916015625,150347200
2018-04-03,39.50298289009489,39.764545376842435,38.85261295346133,39.67971420288086,121112000
2018-04-04,38.852616090550384,40.53273946141442,38.82669535209121,40.43848419189453,138422000
2018-04-05,40.66704967621141,41.05585708750964,40.54922881271408,40.71889114379883,107732800
2018-04-06,40.28767957433702,40.64349740445966,39.634950769566224,39.6773681640625,140021200
2018-04-09,40.030822223282414,40.787230238252334,40.02375325832814,40.07088088989258,116070800
2018-04-10,40.766029280845565,41.00167106859612,40.419635565203585,40.8249397277832,113634400
2018-04-11,40.584581181460756,40.98281634944289,40.459691330575104,40.63406753540039,89726400
2018-04-12,40.86264284289436,41.23731241849354,40.77545293733876,41.03466033935547,91557200
2018-04-13,41.1854583418898,41.435237982563066,40.96631327452418,41.173675537109375,100497200
2018-04-16,41.244386758740376,41.51773212819286,41.197259114671375,41.430545806884766,86313600
2018-04-17,41.588420329312605,42.16574198899704,41.56956855485818,42.00079345703125,106421600
2018-04-18,41.89946713606957,42.13746765101794,41.68032199186675,41.90653610229492,83018000
2018-04-19,40.94510518817356,41.32920235376922,40.685901445843875,40.71889114379883,139235200
2018-04-20,40.20047744211226,40.346574152727804,38.98220662885717,39.05054473876953,261964400
2018-04-23,39.31211613813522,39.3333230340672,38.666456406767026,38.93744659423828,146062000
2018-04-24,39.03877067555058,39.194295102996016,37.99016554312238,38.395469665527344,134768000
2018-04-25,38.32005254794428,38.979850034719774,38.27056980391016,38.56276321411133,113528400
2018-04-26,38.67352834703607,39.05291176219348,38.49679700945855,38.69709396362305,111852000
2018-04-27,38.64524698894621,38.7230091978969,37.85113544226784,38.24937057495117,142623200
2018-04-30,38.20459770537288,39.413437426066245,38.136259584999245,38.94215393066406,169709600
2018-05-01,39.21314985527039,39.87058884581609,38.94451836727421,39.84702682495117,214277600
2018-05-02,41.291502795137106,41.8853210111797,40.9545368189417,41.60726547241211,266157600
2018-05-03,41.4446737111615,41.82641221003319,41.10534900300538,41.68267059326172,136272800
2018-05-04,42.00314227461454,43.416992785962016,41.984290502990305,43.318023681640625,224805200
2018-05-07,43.636141826215024,44.222891135779996,43.53481758965198,43.631431579589844,169805600
2018-05-08,43.59137248932765,43.88121086073857,43.28032362587547,43.84115219116211,113611200
2018-05-09,43.95896445750849,44.15925776611903,43.64556053221597,44.14983367919922,92844800
2018-05-10,44.2393836603036,44.85911902088463,44.218173170035804,44.78135681152344,111957200
2018-05-11,44.82392806377469,44.958759889185465,44.34136331831974,44.61103057861328,104848800
2018-05-14,44.71039916819057,44.833406412604056,44.43836759500866,44.50696563720703,83115200
2018-05-15,44.18288904852097,44.251490694559884,43.78548605847127,44.10246276855469,94780800
2018-05-16,44.01493922871573,44.58029459901324,43.99837896645012,44.51405715942383,76732400
2018-05-17,44.47147763647819,44.68673937854527,44.08353510360272,44.23256301879883,69176000
2018-05-18,44.27987037350764,44.42653046786745,44.029127524644984,44.07170486450195,73190800
2018-05-21,44.47148705487406,44.77190715361013,44.213647916414686,44.38396453857422,73603200
2018-05-22,44.56137319864113,44.67964841905627,44.18289104952335,44.27278137207031,60962800
2018-05-23,44.08116422228349,44.58974608932775,43.94159675657683,44.5566291809082,80233600
2018-05-24,44.6536293703639,44.67018602490554,44.04806079705663,44.50696563720703,92936000
2018-05-25,44.525875207580995,44.861776300396045,44.38867555961898,44.60866928100586,69844000
2018-05-29,44.37686033222494,44.648891872026915,44.20417592642915,44.44782257080078,90056400
2018-05-30,44.405240380717444,44.47147420247396,44.18288243218946,44.35319900512695,74762000
2018-05-31,44.286964307344995,44.52587890184993,44.03148945299221,44.20417022705078,109931200
2018-06-01,44.469111990917085,45.00607881211757,44.412338594235976,45.00135040283203,93770000
2018-06-04,45.33252676213249,45.753586262007424,45.263928721815624,45.377471923828125,105064800
2018-06-05,45.67078834894453,45.8765860459165,45.50283597350951,45.72755813598633,86264000
2018-06-06,45.80325307793522,45.90970003132506,45.398750323686826,45.886043548583984,83734400
2018-06-07,45.92389499108366,45.938087437716206,45.49810354474371,45.76304244995117,85388800
2018-06-08,45.22134258806852,45.41767986646132,44.89017344949806,45.34671401977539,106627200
2018-06-11,45.2639231720962,45.41058327377536,44.99425584445907,45.23553466796875,73234000
