episode,reward,profit
365657514968153587,42315.8608816567,42315.8608816567
830286935195665593,42315.8608816567,42315.8608816567
315921953553420878,42315.8608816567,42315.8608816567
814188986233286243,42315.8608816567,42315.8608816567
253558989886662505,42315.8608816567,42315.8608816567
557449199719771899,42315.8608816567,42315.8608816567
627767100173330306,42315.8608816567,42315.8608816567
301627931842408224,42315.8608816567,42315.8608816567
978525249133496732,42315.8608816567,42315.8608816567
706386022164048774,42315.8608816567,42315.8608816567
784000000313742621,5385.333752529628,5385.333752529628
120930147388325685,5387.805548817179,5387.805548817179
249026442069360930,5387.805548817179,5387.805548817179
510408569363578323,5387.805548817179,5387.805548817179
249050864615890159,5387.805548817179,5387.805548817179
384614671117508998,5387.805548817179,5387.805548817179
856263708104035998,5387.805548817179,5387.805548817179
100152054468384778,5387.805548817179,5387.805548817179
83926132973947237,5387.805548817179,5387.805548817179
57636189224026510,5387.805548817179,5387.805548817179
219515798214696284,37385.820391124944,37386.12039112494
647514464342835015,37385.820391124944,37386.12039112494
213674476995802554,37385.820391124944,37386.12039112494
844065423289069932,37385.820391124944,37386.12039112494
905822976875639528,37385.820391124944,37386.12039112494
213626918436271897,37385.820391124944,37386.12039112494
192981742610944906,37385.820391124944,37386.12039112494
395319226131040930,37385.820391124944,37386.12039112494
411075252609268302,37385.820391124944,37386.12039112494
180891898686580826,37385.820391124944,37386.12039112494
560638273797635222,37254.37757848779,37297.877578487416
724352675921561428,37254.27757848778,37297.877578487416
906108023038663408,37254.27757848778,37297.877578487416
229357541582424239,37254.27757848778,37297.877578487416
938733898414610837,37254.27757848778,37297.877578487416
539468893192197939,37254.27757848778,37297.877578487416
923341251168510901,37254.27757848778,37297.877578487416
379094325657779574,37254.27757848778,37297.877578487416
452800215094097251,37254.27757848778,37297.877578487416
263417176646048425,37254.27757848778,37297.877578487416
331548948480319950,37914.76001819993,37914.86001819993
615923602551835903,37923.76690355302,37923.76690355302
279633821330588351,37923.76690355302,37923.76690355302
278853815225192817,37923.76690355302,37923.76690355302
477295334991152288,37923.76690355302,37923.76690355302
636416017028929372,37923.76690355302,37923.76690355302
646531478532634520,37923.76690355302,37923.76690355302
179662090581545520,37923.76690355302,37923.76690355302
529560728834116480,37923.76690355302,37923.76690355302
234561867711783720,37923.76690355302,37923.76690355302
325179940948146714,37923.76690355302,37923.76690355302
236907200446937824,37923.76690355302,37923.76690355302
380987679926267037,37923.76690355302,37923.76690355302
325404177722577025,37923.76690355302,37923.76690355302
